model,mae,rmse,mape,smape,r2,mase,peak_precision,peak_recall,peak_f1
naive_last,5.537409154839534,9.869653993196428,7.351536508455266,6.965577383716714,0.8579078399553662,0.66494311803535,0.7025641025641024,0.7025641025641024,0.7025641025641024
naive_seasonal_24h,7.601821761923027,13.67433757407814,10.209124034617288,9.50658089252947,0.6477671268979854,0.9040724737382743,0.4897435897435897,0.4897435897435897,0.4897435897435897
arima,5.031885247426982,8.492909482974932,7.262770234027567,7.013842626593761,0.8939019757616232,0.6042956494398485,0.7179487179487181,0.7179487179487181,0.7179487179487181
lstm,9.421732875578636,12.300211949577731,12.570356533785407,11.852647604576726,0.7670527596381801,1.1300511804444446,0.3384615384615384,0.3384615384615384,0.3384615384615384
bilstm,12.795019730203462,16.060972905027942,17.52548838045517,16.205759149744633,0.6018915667369442,1.5313575363843108,0.5256410256410257,0.5256410256410257,0.5256410256410257
cnn_lstm,6.936434197678864,9.024963834586872,9.318816933451222,8.830402126204563,0.8773757633288986,0.8333885681663306,0.6666666666666666,0.6666666666666666,0.6666666666666666
transformer,3.8266004424100637,5.624086758734897,5.284630340760051,5.1532995128505386,0.9511535100919538,0.45669024818468235,0.6974358974358973,0.6974358974358973,0.6974358974358973
random_forest,2.641998547246687,4.0214887821896745,3.5061135897556537,3.4436225988491054,0.9756503688221855,0.3161525258565552,0.7743589743589743,0.7743589743589743,0.7743589743589743
xgboost,2.7234745039721004,4.004550636942644,3.562898035256135,3.5033031063698874,0.9755614390872105,0.3262457538455172,0.764102564102564,0.764102564102564,0.764102564102564
