model,building,mae,rmse,mape,smape,r2,mase,peak_precision,peak_recall,peak_f1
naive_last,Lizzie,7.395721902570005,14.053987103999027,10.829522539814981,9.734876550152034,0.8002658317995606,0.8952947103869651,0.7538461538461538,0.7538461538461538,0.7538461538461538
naive_last,Myles,3.769512466436517,6.372418660250699,7.091834043460225,7.010905289887341,0.9070618271158788,0.41906554957588726,0.6615384615384615,0.6615384615384615,0.6615384615384615
naive_last,Sydney,5.446993095512082,9.182556215339556,4.133252942090595,4.150950311110768,0.8663958609506596,0.6804690941431978,0.6923076923076923,0.6923076923076923,0.6923076923076923
naive_seasonal_24h,Lizzie,7.081192174913693,11.060313612772848,8.413061322665868,8.25843055541961,0.8762947455751261,0.857219076237945,0.5384615384615384,0.5384615384615384,0.5384615384615384
naive_seasonal_24h,Myles,7.952025316455696,17.142612542238208,16.713602834146286,14.722258111232222,0.32742681631774073,0.8840453212858467,0.49230769230769234,0.49230769230769234,0.49230769230769234
naive_seasonal_24h,Sydney,7.772247794399693,12.820086567223361,5.50070794703971,5.53905401093658,0.7395798188010895,0.9709530236910312,0.43846153846153846,0.43846153846153846,0.43846153846153846
arima,Lizzie,7.169008963828143,13.396579719589548,11.293683383046323,10.611004114967539,0.8185148354691427,0.8678498040606009,0.8,0.8,0.8000000000000002
arima,Myles,3.2867964989338536,4.758873146641686,6.88857537651678,6.825765207641424,0.9481684990437069,0.36540088232468887,0.676923076923077,0.676923076923077,0.676923076923077
arima,Sydney,4.63985027951895,7.323275582693567,3.606051942519596,3.604758557172322,0.9150225927720201,0.5796362619342557,0.676923076923077,0.676923076923077,0.676923076923077
lstm,Lizzie,6.284296269155253,8.431271388956104,8.294274823100816,7.9725143507580585,0.9281148141407844,0.7607502394491206,0.7615384615384615,0.7615384615384615,0.7615384615384615
lstm,Myles,3.8075587459574454,6.149069009354434,8.269770407541383,7.923319674195558,0.9134625160635061,0.42329524378136313,0.5692307692307692,0.5692307692307692,0.5692307692307692
lstm,Sydney,5.319639676368049,7.2192559198422375,3.844063237603789,3.9276820250840188,0.9174194830122112,0.6645593868530637,0.46923076923076923,0.46923076923076923,0.46923076923076923
bilstm,Lizzie,7.187419544566762,9.4909385389573,10.396447015897376,9.752542604224029,0.9089098149262739,0.8700785108410315,0.7538461538461538,0.7538461538461538,0.7538461538461538
bilstm,Myles,4.041492845530157,6.716394057000427,8.566618348026967,8.313747453366425,0.8967576533587257,0.44930224677574615,0.6,0.6,0.6
bilstm,Sydney,6.666335629374303,8.675848365501006,4.844992788346262,4.987567564813728,0.8807340071439597,0.8327962395826016,0.5230769230769231,0.5230769230769231,0.5230769230769231
cnn_lstm,Lizzie,5.736039106444376,7.628646904669288,7.701745727521522,7.38712396207408,0.9411497529787943,0.6943805538155594,0.7846153846153846,0.7846153846153846,0.7846153846153847
cnn_lstm,Myles,3.6299265732379267,5.817536167561897,7.764911854162452,7.567265254908209,0.9225424575215535,0.40354745816031307,0.6461538461538462,0.6461538461538462,0.6461538461538462
cnn_lstm,Sydney,4.248554225346573,5.927833808290316,3.153442786970299,3.2038261422977476,0.9443218546040072,0.5307533522526062,0.6230769230769231,0.6230769230769231,0.6230769230769231
transformer,Lizzie,5.02397264920298,6.854284869033413,6.606836345136004,6.353977800641227,0.9524908169472257,0.6081808100974142,0.7692307692307693,0.7692307692307693,0.7692307692307693
transformer,Myles,3.2434845746226544,5.2417956105196675,6.848908549672583,6.700791929441767,0.9371151983300914,0.3605857940271244,0.6384615384615384,0.6384615384615384,0.6384615384615384
transformer,Sydney,3.2123441034045586,4.77617979665161,2.398146127471568,2.405128808468624,0.9638545149985447,0.40130414042950835,0.6846153846153846,0.6846153846153846,0.6846153846153846
random_forest,Lizzie,3.2087727238309065,4.752413498197075,4.051508276533456,3.9711608721129625,0.9771607569943078,0.3884404097835926,0.8307692307692308,0.8307692307692308,0.8307692307692308
random_forest,Myles,2.1293026401298514,3.188050176504082,4.535490856674997,4.423422748686319,0.9767386013053029,0.23671957290088233,0.7307692307692307,0.7307692307692307,0.7307692307692306
random_forest,Sydney,2.587920277779303,4.124002671867867,1.931341636058509,1.9362841757480345,0.9730517481669456,0.32329759488519055,0.7615384615384615,0.7615384615384615,0.7615384615384615
xgboost,Lizzie,3.1617479370374726,4.535695373139524,4.039168070302753,3.957380017061624,0.9791962789727284,0.3827477886401981,0.8153846153846154,0.8153846153846154,0.8153846153846154
xgboost,Myles,2.1611207942223705,3.259124321322653,4.561411980792471,4.449227948441808,0.9756898642903985,0.24025687178236788,0.7538461538461538,0.7538461538461538,0.7538461538461538
xgboost,Sydney,2.8475547806564583,4.218832216365755,2.0881140546731807,2.1033013536062284,0.9717981739985045,0.35573260111398547,0.7230769230769231,0.7230769230769231,0.723076923076923
